,uid,recency,frequency,monetary
1083,VOXLAT0006010732023024170,95,2,938.37
1084,VOXLAT0006010732023027165,285,1,317.91
1085,VOXLAT0006010732023028221,262,1,199.99
1086,VOXLAT0006010732023028627,207,1,409.0
1087,VOXLAT0006010732023033536,24,1,49.05
1088,VOXLAT0006010732023035002,254,2,329.53
1089,VOXLAT0006010732023039236,96,1,124.11
1090,VOXLAT0006010732023039251,308,1,132.92
1091,VOXLAT0006010732023039483,301,2,65.95
1092,VOXLAT0006010732023042495,160,1,139.99
1093,VOXLAT0006010732023047569,229,1,69.15
1094,VOXLAT0006010732023049052,274,1,122.28
1095,VOXLAT0006010732023053278,162,3,1541.6999999999998
1096,VOXLAT0006010732023056941,249,2,655.03
1097,VOXLAT0006010732023059481,70,1,112.07
1098,VOXLAT0006010732023062220,131,4,450.17
1099,VOXLAT0006010732023062634,348,1,188.7
1100,VOXLAT0006010732023066775,273,2,179.16
1101,VOXLAT0006010732023066908,292,3,293.96999999999997
1102,VOXLAT0006010732023070330,281,1,185.54
1103,VOXLAT0006010732023071114,37,2,524.1
1104,VOXLAT0006010732023073383,23,2,1187.02
1105,VOXLAT0006010732023075875,133,10,974.08
1106,VOXLAT0006010732023076329,100,2,78.41
1107,VOXLAT0006010732023077301,262,1,26.0
1108,VOXLAT0006010732023077616,323,1,503.17
1109,VOXLAT0006010732023081907,33,3,626.5899999999999
1110,VOXLAT0006010732023086427,237,1,90.49
1111,VOXLAT0006010732023091674,12,1,61.05
1112,VOXLAT0006010732023094629,82,1,97.7
1113,VOXLAT0006010732023102158,289,1,86.73
1114,VOXLAT0006010732023103594,167,1,77.23
1115,VOXLAT0006010732023115143,52,2,1456.1
1116,VOXLAT0006010732023117586,135,1,207.75
1117,VOXLAT0006010732023120168,211,5,554.82
1118,VOXLAT0006010732023122727,256,1,147.96
1119,VOXLAT0006010732023123170,301,1,160.75
1120,VOXLAT0006010732023127791,172,5,558.13
1121,VOXLAT0006010732023127957,32,1,136.12
1122,VOXLAT0006010732023128278,27,5,1044.25
1123,VOXLAT0006010732023129466,256,1,212.89
1124,VOXLAT0006010732023130746,242,2,242.06
1125,VOXLAT0006010732023138145,305,1,489.95
1126,VOXLAT0006010732023142626,97,1,179.95
1127,VOXLAT0006010732023143103,61,1,150.71
1128,VOXLAT0006010732023147963,208,2,718.2
1129,VOXLAT0006010732023149076,218,1,33.58
1130,VOXLAT0006010732023152849,116,1,209.99
1131,VOXLAT0006010732023154514,79,1,89.95
1132,VOXLAT0006010732023155768,301,1,41.66
1133,VOXLAT0006010732023157616,34,1,30.77
1134,VOXLAT0006010732023157814,196,2,65.95
1135,VOXLAT0006010732023159158,202,1,75.95
1136,VOXLAT0006010732023160495,16,2,599.37
1137,VOXLAT0006010732023161014,43,6,1119.3899999999999
1138,VOXLAT0006010732023164448,129,1,90.3
1139,VOXLAT0006010732023166500,88,2,479.88
1140,VOXLAT0006010732023167649,343,1,22.0
1141,VOXLAT0006010732023171609,285,1,127.99
1142,VOXLAT0006010732023172813,305,1,75.0
1143,VOXLAT0006010732023174629,232,1,1293.14
1144,VOXLAT0006010732023176137,309,7,112.62
1145,VOXLAT0006010732023177358,279,1,310.0
1146,VOXLAT0006010732023179495,345,1,58.15
1147,VOXLAT0006010732023181731,241,1,49.95
1148,VOXLAT0006010732023182622,95,9,737.72
1149,VOXLAT0006010732023187035,284,1,169.98
1150,VOXLAT0006010732023187092,280,2,137.5
1151,VOXLAT0006010732023188710,175,1,171.75
1152,VOXLAT0006010732023189106,298,1,679.0
1153,VOXLAT0006010732023189288,305,1,408.6
1154,VOXLAT0006010732023189668,152,1,200.0
1155,VOXLAT0006010732023189759,203,6,429.76
1156,VOXLAT0006010732023190120,320,1,85.5
1157,VOXLAT0006010732023190708,100,1,205.89
1158,VOXLAT0006010732023190880,258,3,125.0
1159,VOXLAT0006010732023193553,164,8,1404.6
1160,VOXLAT0006010732023194072,187,1,501.85
1161,VOXLAT0006010732023195277,92,1,387.6
1162,VOXLAT0006010732023195830,85,10,2263.13
1163,VOXLAT0006010732023198198,95,5,1273.47
1164,VOXLAT0006010732023202073,201,2,69.92999999999999
1165,VOXLAT0006010732023202479,199,1,129.9
1166,VOXLAT0006010732023206710,14,1,114.0
1167,VOXLAT0006010732023206736,268,1,255.0
1168,VOXLAT0006010732023208047,166,1,705.37
1169,VOXLAT0006010732023209037,333,1,20.12
1170,VOXLAT0006010732023211496,318,3,68.0
1171,VOXLAT0006010732023212973,303,1,49.9
1172,VOXLAT0006010732023219580,94,2,540.25
1173,VOXLAT0006010732023220349,337,1,164.58
1174,VOXLAT0006010732023220901,315,3,515.38
1175,VOXLAT0006010732023222501,333,1,54.69
1176,VOXLAT0006010732023222618,142,1,293.91
1177,VOXLAT0006010732023222949,170,12,806.74
1178,VOXLAT0006010732023225629,63,5,348.86
1179,VOXLAT0006010732023226106,104,14,1187.85
1180,VOXLAT0006010732023229548,108,3,218.23000000000002
1181,VOXLAT0006010732023232377,62,3,466.12
1182,VOXLAT0006010732023232831,157,2,455.98
1183,VOXLAT0006010732023233821,33,1,159.92
1184,VOXLAT0006010732023235230,279,1,186.44
1185,VOXLAT0006010732023235388,292,1,34.99
1186,VOXLAT0006010732023235859,243,27,3401.73
1187,VOXLAT0006010732023242822,344,1,440.85
1188,VOXLAT0006010732023243127,189,2,334.9
1189,VOXLAT0006010732023244729,290,1,599.95
1190,VOXLAT0006010732023245726,77,5,2552.54
1191,VOXLAT0006010732023247110,96,3,147.96999999999997
1192,VOXLAT0006010732023254942,108,1,558.0
1193,VOXLAT0006010732023257192,322,2,175.98
1194,VOXLAT0006010732023257440,108,3,268.87
1195,VOXLAT0006010732023259958,87,1,109.95
1196,VOXLAT0006010732023261889,253,1,25.0
1197,VOXLAT0006010732023262465,343,1,154.99
1198,VOXLAT0006010732023262614,192,1,1104.49
1199,VOXLAT0006010732023266128,125,2,388.19
1200,VOXLAT0006010732023266250,326,1,370.01
1201,VOXLAT0006010732023270385,152,3,230.48999999999998
1202,VOXLAT0006010732023270815,84,18,1619.72
1203,VOXLAT0006010732023274197,330,1,129.95
1204,VOXLAT0006010732023276093,279,1,65.0
1205,VOXLAT0006010732023276283,292,1,104.93
1206,VOXLAT0006010732023276358,210,3,410.77000000000004
1207,VOXLAT0006010732023276804,170,1,369.98
1208,VOXLAT0006010732023277281,290,1,404.0
1209,VOXLAT0006010732023280095,345,1,125.94
1210,VOXLAT0006010732023281986,175,3,377.97
1211,VOXLAT0006010732023283248,53,3,1719.99
1212,VOXLAT0006010732023283966,102,2,364.75
1213,VOXLAT0006010732023286191,317,1,45.0
1214,VOXLAT0006010732023290219,57,2,849.8
1215,VOXLAT0006010732023290482,277,1,750.0
1216,VOXLAT0006010732023291761,120,1,299.98
1217,VOXLAT0006010732023295911,76,1,103.9
1218,VOXLAT0006010732023296430,127,6,1944.78
1219,VOXLAT0006010732023298469,133,4,1377.56
1220,VOXLAT0006010732023298550,124,3,557.3199999999999
1221,VOXLAT0006010732023299194,87,1,39.95
1222,VOXLAT0006010732023300208,91,1,109.99
1223,VOXLAT0006010732023301065,299,2,102.68
1224,VOXLAT0006010732023301362,79,2,189.97
1225,VOXLAT0006010732023301495,143,1,77.8
1226,VOXLAT0006010732023301511,178,5,958.9200000000001
1227,VOXLAT0006010732023302709,275,2,165.17000000000002
1228,VOXLAT0006010732023304390,84,2,145.2
1229,VOXLAT0006010732023305736,150,1,399.84
1230,VOXLAT0006010732023309332,322,1,403.39
1231,VOXLAT0006010732023311924,213,2,82.24000000000001
1232,VOXLAT0006010732023315206,63,6,507.54
1233,VOXLAT0006010732023322830,313,1,210.0
1234,VOXLAT0006010732023322921,191,1,279.8
1235,VOXLAT0006010732023326245,94,3,1173.06
1236,VOXLAT0006010732023326419,317,1,221.0
1237,VOXLAT0006010732023327011,67,1,57.5
1238,VOXLAT0006010732023328266,35,1,56.16
1239,VOXLAT0006010732023328357,305,1,209.99
1240,VOXLAT0006010732023330643,195,1,217.99
1241,VOXLAT0006010732023331211,258,5,652.4200000000001
1242,VOXLAT0006010732023334884,169,1,86.7
1243,VOXLAT0006010732023338554,221,1,125.34
1244,VOXLAT0006010732023345583,53,3,545.9
1245,VOXLAT0006010732023349098,266,1,14.99
1246,VOXLAT0006010732023351953,213,1,86.94
1247,VOXLAT0006010732023352662,301,3,284.97
1248,VOXLAT0006010732023354189,105,1,67.99
1249,VOXLAT0006010732023357653,131,1,145.0
1250,VOXLAT0006010732023358776,249,2,224.88
1251,VOXLAT0006010732023369047,132,1,143.99
1252,VOXLAT0006010732023371175,33,4,401.59
1253,VOXLAT0006010732023373049,317,1,89.8
1254,VOXLAT0006010732023373882,91,1,545.0
1255,VOXLAT0006010732023376307,252,2,175.98
1256,VOXLAT0006010732023379095,269,7,394.78
1257,VOXLAT0006010732023381687,33,1,64.0
1258,VOXLAT0006010732023383543,110,1,896.39
1259,VOXLAT0006010732023386363,267,1,60.0
1260,VOXLAT0006010732023389516,262,1,278.02
1261,VOXLAT0006010732023394680,95,1,55.99
1262,VOXLAT0006010732023395562,322,5,695.96
1263,VOXLAT0006010732023400339,329,1,209.0
1264,VOXLAT0006010732023405221,318,1,253.17
1265,VOXLAT0006010732023405809,154,13,1320.3400000000001
1266,VOXLAT0006010732023406419,21,1,47.9
1267,VOXLAT0006010732023408605,52,1,56.99
1268,VOXLAT0006010732023410841,319,1,52.42
1269,VOXLAT0006010732023418828,257,1,16.99
1270,VOXLAT0006010732023419057,24,3,500.94
1271,VOXLAT0006010732023422143,133,1,304.0
1272,VOXLAT0006010732023422358,34,11,1589.6
1273,VOXLAT0006010732023423505,296,1,90.49
1274,VOXLAT0006010732023424123,315,1,238.62
1275,VOXLAT0006010732023426201,321,1,204.0
1276,VOXLAT0006010732023428090,75,1,139.05
1277,VOXLAT0006010732023430161,23,1,254.03
1278,VOXLAT0006010732023430328,112,3,174.95999999999998
1279,VOXLAT0006010732023430393,90,3,551.6
1280,VOXLAT0006010732023433017,227,2,175.99
1281,VOXLAT0006010732023433280,129,1,89.85
1282,VOXLAT0006010732023433470,326,4,460.97
1283,VOXLAT0006010732023434064,288,2,1041.5
1284,VOXLAT0006010732023438354,344,1,42.07
1285,VOXLAT0006010732023441150,175,1,62.06
1286,VOXLAT0006010732023442430,301,1,60.0
1287,VOXLAT0006010732023446027,256,2,87.6
1288,VOXLAT0006010732023446878,294,7,649.94
1289,VOXLAT0006010732023447264,64,5,851.81
1290,VOXLAT0006010732023448007,243,2,193.5
1291,VOXLAT0006010732023449344,118,2,552.31
1292,VOXLAT0006010732023452660,23,1,86.28
1293,VOXLAT0006010732023456067,195,1,125.02
1294,VOXLAT0006010732023457065,125,2,168.0
1295,VOXLAT0006010732023461638,318,2,233.72
1296,VOXLAT0006010732023464616,9,1,214.55
1297,VOXLAT0006010732023465894,149,1,141.29
1298,VOXLAT0006010732023466108,269,1,154.98
1299,VOXLAT0006010732023470225,22,2,286.0
1300,VOXLAT0006010732023472189,344,2,405.45
1301,VOXLAT0006010732023472213,123,4,359.25
1302,VOXLAT0006010732023473898,53,5,669.6999999999999
1303,VOXLAT0006010732023481149,37,1,284.43
1304,VOXLAT0006010732023484820,70,1,23.91
1305,VOXLAT0006010732023485264,328,1,263.25
1306,VOXLAT0006010732023485884,308,1,54.4
1307,VOXLAT0006010732023485983,40,2,74.94
1308,VOXLAT0006010732023487187,63,1,301.68
1309,VOXLAT0006010732023487815,18,1,56.94
1310,VOXLAT0006010732023488177,246,1,736.73
1311,VOXLAT0006010732023490702,96,2,1658.91
1312,VOXLAT0006010732023491080,306,1,76.8
1313,VOXLAT0006010732023498366,333,1,490.05
1314,VOXLAT0006010732023498531,336,1,579.02
1315,VOXLAT0006010732023498655,257,2,194.99
1316,VOXLAT0006010732023499141,290,1,450.4
1317,VOXLAT0006010732023502563,167,2,207.42000000000002
1318,VOXLAT0006010732023503850,109,1,415.0
1319,VOXLAT0006010732023506671,318,1,277.59
1320,VOXLAT0006010732023509006,315,1,74.0
1321,VOXLAT0006010732023512034,331,1,159.99
1322,VOXLAT0006010732023512307,288,1,770.81
1323,VOXLAT0006010732023517421,205,1,52.88
1324,VOXLAT0006010732023520763,81,1,159.96
1325,VOXLAT0006010732023525507,283,1,55.5
1326,VOXLAT0006010732023527172,339,1,438.72
1327,VOXLAT0006010732023534186,197,1,188.99
1328,VOXLAT0006010732023534996,165,1,120.0
1329,VOXLAT0006010732023535902,303,1,520.0
1330,VOXLAT0006010732023537130,259,2,692.95
1331,VOXLAT0006010732023537429,299,1,99.98
1332,VOXLAT0006010732023538005,316,3,128.98
1333,VOXLAT0006010732023541272,33,1,66.22
1334,VOXLAT0006010732023544607,186,2,154.99
1335,VOXLAT0006010732023546578,84,2,259.95
1336,VOXLAT0006010732023548319,308,2,139.98
1337,VOXLAT0006010732023548616,123,5,1116.93
1338,VOXLAT0006010732023551271,255,1,109.99
1339,VOXLAT0006010732023553939,25,1,136.69
1340,VOXLAT0006010732023556429,214,1,25.99
1341,VOXLAT0006010732023560124,12,1,166.75
1342,VOXLAT0006010732023561536,47,1,309.16
1343,VOXLAT0006010732023562294,270,1,262.96
1344,VOXLAT0006010732023566352,348,1,210.0
1345,VOXLAT0006010732023566428,288,1,63.49
1346,VOXLAT0006010732023566568,278,1,677.95
1347,VOXLAT0006010732023567681,156,2,536.39
1348,VOXLAT0006010732023568440,191,1,4191.2
1349,VOXLAT0006010732023571436,165,11,1141.8700000000001
1350,VOXLAT0006010732023574042,63,14,1991.75
1351,VOXLAT0006010732023574471,37,1,513.02
1352,VOXLAT0006010732023575346,60,10,2594.86
1353,VOXLAT0006010732023577037,214,3,201.42
1354,VOXLAT0006010732023580122,16,1,147.81
1355,VOXLAT0006010732023585022,276,5,2173.85
1356,VOXLAT0006010732023587630,229,1,9.99
1357,VOXLAT0006010732023587689,246,1,55.3
1358,VOXLAT0006010732023588000,268,1,14.0
1359,VOXLAT0006010732023589347,9,1,91.99
1360,VOXLAT0006010732023592903,170,1,46.73
1361,VOXLAT0006010732023593448,334,1,44.29
1362,VOXLAT0006010732023593661,138,6,576.9200000000001
1363,VOXLAT0006010732023596995,325,1,107.95
1364,VOXLAT0006010732023600185,283,2,329.55
1365,VOXLAT0006010732023600706,279,1,310.0
1366,VOXLAT0006010732023601605,134,1,107.11
1367,VOXLAT0006010732023602306,156,2,1260.73
1368,VOXLAT0006010732023603254,297,2,137.98
1369,VOXLAT0006010732023606588,89,2,253.39000000000001
1370,VOXLAT0006010732023611422,14,1,841.86
1371,VOXLAT0006010732023614558,236,1,43.7
1372,VOXLAT0006010732023614665,14,14,3513.83
1373,VOXLAT0006010732023614988,210,3,293.96999999999997
1374,VOXLAT0006010732023618104,173,1,14.99
1375,VOXLAT0006010732023620100,286,1,146.58
1376,VOXLAT0006010732023622452,38,1,69.99
1377,VOXLAT0006010732023623450,251,1,159.95
1378,VOXLAT0006010732023624037,94,1,51.37
1379,VOXLAT0006010732023626909,335,1,861.6
1380,VOXLAT0006010732023628137,17,17,4166.58
1381,VOXLAT0006010732023639696,324,1,79.03
1382,VOXLAT0006010732023641288,58,1,250.95
1383,VOXLAT0006010732023641437,191,1,580.98
1384,VOXLAT0006010732023642120,75,1,40.2
1385,VOXLAT0006010732023643193,105,2,125.97999999999999
1386,VOXLAT0006010732023646485,51,4,442.57
1387,VOXLAT0006010732023646899,146,3,1047.08
1388,VOXLAT0006010732023647152,288,1,32.98
1389,VOXLAT0006010732023648861,100,2,233.07999999999998
1390,VOXLAT0006010732023648879,292,1,15.0
1391,VOXLAT0006010732023650594,258,2,664.17
1392,VOXLAT0006010732023651451,338,1,77.49
1393,VOXLAT0006010732023652020,168,2,191.07999999999998
1394,VOXLAT0006010732023652442,193,1,1204.74
1395,VOXLAT0006010732023652970,318,2,151.24
1396,VOXLAT0006010732023660601,319,2,460.36
1397,VOXLAT0006010732023662243,96,2,617.3299999999999
1398,VOXLAT0006010732023663472,28,1,1870.61
1399,VOXLAT0006010732023665303,244,1,18.69
1400,VOXLAT0006010732023673208,348,1,172.99
1401,VOXLAT0006010732023675906,162,3,1820.6100000000001
1402,VOXLAT0006010732023676367,10,1,83.97
1403,VOXLAT0006010732023676557,278,2,82.77
1404,VOXLAT0006010732023677316,228,1,570.03
1405,VOXLAT0006010732023678249,63,1,121.95
1406,VOXLAT0006010732023679098,284,1,461.71
1407,VOXLAT0006010732023681243,95,1,171.0
1408,VOXLAT0006010732023684197,277,1,60.0
1409,VOXLAT0006010732023685384,32,1,118.95
1410,VOXLAT0006010732023686275,106,1,93.0
1411,VOXLAT0006010732023688032,256,1,167.47
1412,VOXLAT0006010732023688982,205,1,69.1
1413,VOXLAT0006010732023690756,257,1,117.2
1414,VOXLAT0006010732023691283,308,1,270.0
1415,VOXLAT0006010732023692802,192,3,496.89
1416,VOXLAT0006010732023693529,339,1,318.37
1417,VOXLAT0006010732023697306,266,1,123.99
1418,VOXLAT0006010732023704243,61,1,269.9
1419,VOXLAT0006010732023704680,16,1,77.97
1420,VOXLAT0006010732023706636,297,1,38.7
1421,VOXLAT0006010732023709283,200,2,279.0
1422,VOXLAT0006010732023710588,25,1,59.94
1423,VOXLAT0006010732023712204,40,8,1104.03
1424,VOXLAT0006010732023718615,327,1,65.32
1425,VOXLAT0006010732023719159,201,5,683.95
1426,VOXLAT0006010732023721874,237,2,74.85
1427,VOXLAT0006010732023722310,153,1,140.49
1428,VOXLAT0006010732023729976,142,5,1255.4099999999999
1429,VOXLAT0006010732023731451,227,1,208.56
1430,VOXLAT0006010732023731956,89,1,498.84
1431,VOXLAT0006010732023733093,18,2,1009.22
1432,VOXLAT0006010732023734091,69,1,96.95
1433,VOXLAT0006010732023736591,75,1,201.01
1434,VOXLAT0006010732023742540,39,1,260.0
1435,VOXLAT0006010732023744975,259,2,293.9
1436,VOXLAT0006010732023748919,33,1,68.31
1437,VOXLAT0006010732023750097,163,3,375.59000000000003
1438,VOXLAT0006010732023750261,243,1,869.16
1439,VOXLAT0006010732023752432,307,1,200.0
1440,VOXLAT0006010732023754651,216,2,841.54
1441,VOXLAT0006010732023754669,243,1,327.96
1442,VOXLAT0006010732023757647,261,1,288.0
1443,VOXLAT0006010732023758363,117,1,200.0
1444,VOXLAT0006010732023759049,90,4,441.82
1445,VOXLAT0006010732023760989,21,2,134.55
1446,VOXLAT0006010732023761599,9,6,839.05
1447,VOXLAT0006010732023762712,294,1,21.0
1448,VOXLAT0006010732023762829,257,1,369.6
1449,VOXLAT0006010732023763173,300,1,67.43
1450,VOXLAT0006010732023766713,146,1,200.0
1451,VOXLAT0006010732023768073,168,10,469.77
1452,VOXLAT0006010732023768248,139,1,91.87
1453,VOXLAT0006010732023769915,44,1,123.96
1454,VOXLAT0006010732023770020,291,1,320.0
1455,VOXLAT0006010732023777223,209,1,200.0
1456,VOXLAT0006010732023779195,174,1,66.99
1457,VOXLAT0006010732023779708,100,1,204.87
1458,VOXLAT0006010732023780847,285,1,79.99
1459,VOXLAT0006010732023781696,107,2,392.53
1460,VOXLAT0006010732023782702,16,2,218.12
1461,VOXLAT0006010732023788113,105,7,597.92
1462,VOXLAT0006010732023788329,37,49,10013.53
1463,VOXLAT0006010732023788741,142,1,590.62
1464,VOXLAT0006010732023792271,160,1,260.0
1465,VOXLAT0006010732023793485,116,1,379.0
1466,VOXLAT0006010732023794228,68,2,208.98
1467,VOXLAT0006010732023794392,25,1,67.14
1468,VOXLAT0006010732023798047,248,2,194.99
1469,VOXLAT0006010732023805214,337,1,431.9
1470,VOXLAT0006010732023805677,254,1,369.75
1471,VOXLAT0006010732023806519,295,1,41.95
1472,VOXLAT0006010732023807772,343,1,45.0
1473,VOXLAT0006010732023809802,84,15,1147.72
1474,VOXLAT0006010732023810685,177,1,113.97
1475,VOXLAT0006010732023812418,33,1,23.83
1476,VOXLAT0006010732023814695,305,1,115.0
1477,VOXLAT0006010732023815486,112,8,1136.9
1478,VOXLAT0006010732023815544,130,11,732.36
1479,VOXLAT0006010732023819553,333,2,172.07
1480,VOXLAT0006010732023823126,241,2,52.0
1481,VOXLAT0006010732023825162,195,2,155.03
1482,VOXLAT0006010732023827481,218,2,214.68
1483,VOXLAT0006010732023828554,87,1,66.91
1484,VOXLAT0006010732023829743,188,1,109.95
1485,VOXLAT0006010732023829941,350,1,119.99
1486,VOXLAT0006010732023830774,33,1,273.52
1487,VOXLAT0006010732023831392,16,1,379.0
1488,VOXLAT0006010732023832879,78,1,170.0
1489,VOXLAT0006010732023836532,127,1,144.99
1490,VOXLAT0006010732023836573,324,1,89.95
1491,VOXLAT0006010732023841813,19,1,290.0
1492,VOXLAT0006010732023842647,214,1,82.03
1493,VOXLAT0006010732023844551,123,1,419.32
1494,VOXLAT0006010732023849741,76,1,148.15
1495,VOXLAT0006010732023851317,63,1,298.84
1496,VOXLAT0006010732023851416,205,2,434.8
1497,VOXLAT0006010732023852703,15,2,280.77
1498,VOXLAT0006010732023852885,10,2,1097.25
1499,VOXLAT0006010732023855037,28,1,79.1
1500,VOXLAT0006010732023858825,228,1,256.0
1501,VOXLAT0006010732023859955,319,1,122.87
1502,VOXLAT0006010732023860615,117,14,1175.8999999999999
1503,VOXLAT0006010732023862496,105,20,3344.8
1504,VOXLAT0006010732023867917,189,1,321.4
1505,VOXLAT0006010732023868204,110,1,42.49
1506,VOXLAT0006010732023870283,286,1,170.0
1507,VOXLAT0006010732023870531,165,2,71.98
1508,VOXLAT0006010732023870721,221,1,132.95
1509,VOXLAT0006010732023872644,33,1,262.22
1510,VOXLAT0006010732023873642,309,1,164.7
1511,VOXLAT0006010732023876827,240,1,76.19
1512,VOXLAT0006010732023877361,142,2,154.0
1513,VOXLAT0006010732023878278,150,2,376.78
1514,VOXLAT0006010732023880787,182,1,440.56
1515,VOXLAT0006010732023883427,292,1,61.88
1516,VOXLAT0006010732023885646,109,1,245.13
1517,VOXLAT0006010732023887873,86,1,243.0
1518,VOXLAT0006010732023893137,271,3,265.59000000000003
1519,VOXLAT0006010732023893871,244,1,77.9
1520,VOXLAT0006010732023896148,22,1,196.78
1521,VOXLAT0006010732023896320,16,2,375.83
1522,VOXLAT0006010732023896692,33,1,188.48
1523,VOXLAT0006010732023896841,176,2,2919.49
1524,VOXLAT0006010732023897815,330,1,310.0
1525,VOXLAT0006010732023900205,322,6,412.90999999999997
1526,VOXLAT0006010732023900924,243,1,441.46
1527,VOXLAT0006010732023901146,268,2,328.0
1528,VOXLAT0006010732023901690,320,1,716.6
1529,VOXLAT0006010732023904140,46,2,384.12
1530,VOXLAT0006010732023905592,104,1,61.9
1531,VOXLAT0006010732023906699,198,1,289.98
1532,VOXLAT0006010732023907648,192,1,58.14
1533,VOXLAT0006010732023911459,113,2,538.5
1534,VOXLAT0006010732023911566,39,1,183.05
1535,VOXLAT0006010732023916532,38,1,31.99
1536,VOXLAT0006010732023920781,335,1,89.99
1537,VOXLAT0006010732023923629,293,1,181.07
1538,VOXLAT0006010732023924213,119,5,592.37
1539,VOXLAT0006010732023924536,330,1,310.0
1540,VOXLAT0006010732023926648,192,2,239.88
1541,VOXLAT0006010732023929402,229,5,4031.29
1542,VOXLAT0006010732023929410,330,1,310.0
1543,VOXLAT0006010732023929907,260,1,31.24
1544,VOXLAT0006010732023930392,33,4,1161.6599999999999
1545,VOXLAT0006010732023931937,275,1,580.47
1546,VOXLAT0006010732023931952,54,1,42.19
1547,VOXLAT0006010732023932091,150,1,59.47
1548,VOXLAT0006010732023932414,149,2,194.57
1549,VOXLAT0006010732023932943,13,1,145.96
1550,VOXLAT0006010732023934295,107,1,351.38
1551,VOXLAT0006010732023936100,45,1,311.55
1552,VOXLAT0006010732023937199,343,2,843.4
1553,VOXLAT0006010732023938528,75,2,816.3
1554,VOXLAT0006010732023940680,123,3,606.8
1555,VOXLAT0006010732023942330,76,5,656.96
1556,VOXLAT0006010732023942488,284,2,129.99
1557,VOXLAT0006010732023944021,54,4,391.14
1558,VOXLAT0006010732023950176,243,2,154.99
1559,VOXLAT0006010732023950226,210,8,730.3199999999999
1560,VOXLAT0006010732023955829,98,6,523.8499999999999
1561,VOXLAT0006010732023957148,279,2,391.64
1562,VOXLAT0006010732023957650,177,5,640.86
1563,VOXLAT0006010732023958005,33,1,63.97
1564,VOXLAT0006010732023959227,251,2,1288.52
1565,VOXLAT0006010732023960258,186,2,139.99
1566,VOXLAT0006010732023960290,249,2,69.75
1567,VOXLAT0006010732023962551,112,1,372.84
1568,VOXLAT0006010732023965679,195,1,19.95
1569,VOXLAT0006010732023965984,85,1,111.4
1570,VOXLAT0006010732023966859,309,1,530.0
1571,VOXLAT0006010732023967170,338,1,481.55
1572,VOXLAT0006010732023968558,232,1,134.29
1573,VOXLAT0006010732023970653,248,1,64.0
1574,VOXLAT0006010732023972949,218,3,776.35
1575,VOXLAT0006010732023973681,152,2,126.79
1576,VOXLAT0006010732023974614,91,32,2767.58
1577,VOXLAT0006010732023974671,33,3,388.73
1578,VOXLAT0006010732023974945,215,4,279.96999999999997
1579,VOXLAT0006010732023981304,323,1,52.69
1580,VOXLAT0006010732023981478,348,2,136.75
1581,VOXLAT0006010732023982807,191,1,893.52
1582,VOXLAT0006010732023982831,173,2,1172.48
1583,VOXLAT0006010732023983383,98,5,548.0699999999999
1584,VOXLAT0006010732023983417,212,2,232.99
1585,VOXLAT0006010732023983565,336,1,159.99
1586,VOXLAT0006010732023983607,232,4,181.31
1587,VOXLAT0006010732023984951,34,5,2330.9300000000003
1588,VOXLAT0006010732023986071,225,1,523.08
1589,VOXLAT0006010732023989042,283,1,79.99
1590,VOXLAT0006010732023989976,235,2,505.83
1591,VOXLAT0006010732023992103,164,2,581.06
1592,VOXLAT0006010732023992988,180,1,22.0
1593,VOXLAT0006010732023993788,217,1,36.99
1594,VOXLAT0006010732023994893,98,1,230.0
1595,VOXLAT0006010732023997854,344,1,251.11
1596,VOXLAT0006010732024002928,154,1,170.0
1597,VOXLAT0006010732024005012,84,1,9.99
1598,VOXLAT0006010732024005152,52,1,34.48
1599,VOXLAT0006010732024005392,250,1,9.99
1600,VOXLAT0006010732024006408,80,1,78.5
1601,VOXLAT0006010732024006846,197,1,24.99
1602,VOXLAT0006010732024006879,278,1,389.9
1603,VOXLAT0006010732024008131,191,1,129.98
1604,VOXLAT0006010732024008339,102,1,119.7
1605,VOXLAT0006010732024012158,309,1,185.83
1606,VOXLAT0006010732024014543,229,3,560.5
1607,VOXLAT0006010732024015706,289,1,73.47
1608,VOXLAT0006010732024016456,84,56,2683.7999999999997
1609,VOXLAT0006010732024019583,336,1,93.92
1610,VOXLAT0006010732024019807,250,1,69.99
1611,VOXLAT0006010732024019989,203,5,197.46
1612,VOXLAT0006010732024024161,245,6,387.90999999999997
1613,VOXLAT0006010732024025135,149,3,269.88
1614,VOXLAT0006010732024030069,245,2,119.94999999999999
1615,VOXLAT0006010732024031174,49,2,184.78
1616,VOXLAT0006010732024033725,102,1,401.09
1617,VOXLAT0006010732024033998,284,6,404.35
1618,VOXLAT0006010732024035258,147,2,1033.03
1619,VOXLAT0006010732024039078,120,2,365.85
1620,VOXLAT0006010732024039185,320,2,587.9200000000001
1621,VOXLAT0006010732024039607,29,1,211.33
1622,VOXLAT0006010732024042015,11,2,55.99
1623,VOXLAT0006010732024044342,337,1,104.97
1624,VOXLAT0006010732024045810,273,1,61.95
1625,VOXLAT0006010732024049200,141,1,1092.81
1626,VOXLAT0006010732024050307,219,1,483.97
1627,VOXLAT0006010732024052402,142,1,314.89
1628,VOXLAT0006010732024053350,262,1,395.96
1629,VOXLAT0006010732024053590,181,1,29.0
1630,VOXLAT0006010732024055215,276,4,126.14
1631,VOXLAT0006010732024055348,120,3,476.75
1632,VOXLAT0006010732024065073,12,1,154.7
